,title,dept,procurement_stage,notice_status,contract location,contract_value,publication_year,closing_year,status
1297,Provision of Testing and Licensing of Taxi Vehicles		,Chesterfield Borough Council, Opportunity, Open, s40 1AH,,2022.0,2022,Closing
1298,New Ways To Pay - Payment Solutions		,BIP SOLUTIONS LIMITED, Opportunity, Open," United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World",,2022.0,2022,Closing
1299,Insights Supported Developmental Tool		,Chelsea and Westminster Hospital NHS Foundation Trust, Opportunity, Open, SW10 0XD,,2022.0,2022,Closing
1300,"Event Support, Logistical Management and Fireworks Displays for the World Fireworks Championship		",Blackpool Council, Opportunity, Open, England,450000.0,2022.0,2022,Closing
1301,EV076 13. Vehicle Inspection Pits		,North Tyneside Council, Opportunity, Open, England,,2022.0,2022,Closing
1302,Procurement of 5 Standard Small Light Electric Vans		,Lancaster City Council, Opportunity, Open, England,,2022.0,2022,Closing
1303,"Boarding, Kennelling and Collection of Animals		",South Tyneside Council, Opportunity, Open, North East,,2022.0,2022,Closing
1304,Gloucestershire Private Sector Housing Survey 2022		,Stroud District Council, Opportunity, Open, England,,2022.0,2022,Closing
1305,"Replacement Perimeter Fencing at RAF Museum London, Grahame Park Way, London, NW9 5LL		",The  Royal Air Force Museum, Opportunity, Open, nw9 5ll,,2022.0,2022,Closing
1306,Procurement of Small Electric Vans		,Lancaster City Council, Opportunity, Open, England,,2022.0,2022,Closing
1307,PRP125 - Fire Alarm and Lighting Works at Linton Primary School		,Derbyshire County Council, Opportunity, Open, United Kingdom,,2022.0,2022,Closing
1308,GB-Telford: 20261 - Horsehay Golf Club - Solar PV and Battery Storage		,Telford and Wrekin Council, Opportunity, Open, West Midlands,100000.0,2022.0,2022,Closing
1309,Bath City Centre Security HVM		,Bath and North East Somerset Council, Opportunity, Open, South West,,2022.0,2022,Closing
1310,Integrated Sexual Health Services		,London Borough of Bromley, Opportunity, Open, England,,2022.0,2022,Closing
1311,Passive Fire Protection		,EFFICIENCY EAST MIDLANDS LIMITED, Future opportunity, Open," North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West, Wales",750000000.0,2022.0,2022,Approach
1312,CA10084 - HHC Student Transport Services		,Hopwood Hall College, Opportunity, Open, M24 6XH,,2022.0,2022,Closing
1313,Arc108 - General Building framework - Soft Market Testing		,Scape Group Limited, Opportunity, Open, East Midlands,,2022.0,2022,Closing
1314,SSD 18 03 Derbyshire Provider List for the Provision of Payroll and Managed Account Services		,Derbyshire County Council, Opportunity, Open, England,,2022.0,2022,Closing
1315,3243/JN - Fused Filament 3D Printer		,UNIVERSITY OF SHEFFIELD, Opportunity, Open, Yorkshire and the Humber,,2022.0,2022,Closing
1316,Particulate Matter Analyser		,UNIVERSITY OF SHEFFIELD, Opportunity, Open, Yorkshire and the Humber,,2022.0,2022,Closing
1317,Provision of an Appropriate Adult Service		,South West Police Procurement Services, Opportunity, Open, Any region,120000.0,2022.0,2022,Closing
1318,Maintenance of village open spaces 2022-2025		,CHOBHAM PARISH COUNCIL, Opportunity, Open, GU24 8Q,24000.0,2022.0,2022,Closing
1319,Ripple Primary School Construction of Additional Resource Provision		,London Borough of Barking and Dagenham, Opportunity, Open, IG11 7QS,,2022.0,2022,Closing
1320,OTPS CP_0722 Cleaning Service Contract to a Primary School		,Oakthorpe Primary School C/o School Smart Consultants Limited, Opportunity, Open, London,180000.0,2022.0,2022,Closing
1321,Mount Green Housing Association Cleaning Services Contract		,Mount Green Housing Association, Opportunity, Open, South East,,2022.0,2022,Closing
1322,Supply of vacuum insulated tubing (VIT) and ancillaries for a coaxial circulation system in a deep geothermal well		,Eden Geothermal Ltd, Opportunity, Open, South West,,2022.0,2022,Closing
1323,Supply and fitting of replacement wood framed double glazed windows		,Director, Opportunity, Open, Yorkshire and the Humber,,2022.0,2022,Closing
1324,Chinese Tax Consultancy		,UNIVERSITY OF DERBY, Opportunity, Open, DE22 1GB,,2022.0,2022,Closing
1325,COV - Coventry Cross Monument Reinstatement		,Coventry City Council (COV), Opportunity, Open, CV1 2GN,620000.0,2022.0,2022,Closing
1326,Stay and Play drop-in services		,London Borough of Camden, Opportunity, Open, England,,2022.0,2022,Closing
1327,safefood Research Tender Call		,PROACTIS TENDERS LIMITED MYT, Opportunity, Open, Any region,,2022.0,2022,Closing
1328,For the Provision of an Internal Health and Safety Service		,Lee Valley Regional Park Authority, Opportunity, Open, EN2 9HG,1400000.0,2022.0,2022,Closing
1329,Marketing Management Consultancy Services.		,Bath Spa University, Opportunity, Open, South West,,2022.0,2022,Closing
1330,"Replacement Instrumentation for use on the UK Automatic Hydrocarbons Network. Approach to Trial, Purchase and Equipment Support new Instrumentation		",Defra Network eTendering Portal, Opportunity, Open, Any region,750000.0,2022.0,2022,Closing
1331,Provision of  Tenants' Home Contents Insurance  for Residents		,First Choice Homes Oldham, Opportunity, Open, North West,,2022.0,2022,Closing
1332,Homicide Services - 2023 - 2027		,Ministry of Justice, Opportunity, Open, SW1H 9AJ,,2022.0,2022,Closing
1333,Tree Works Services		,Riverside, Opportunity, Open," North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West",,2022.0,2022,Closing
1334,Blended Learning Anaesthesia Associate (AA) Degree Programme		,Health Education England, Opportunity, Open, LS1 4PL,300000.0,2022.0,2022,Closing
1335,"Minor Works, Repairs and Refurbishment Framework		",United Lincolnshire Hospitals NHS Trust, Opportunity, Open, LN2 5QY,10000000.0,2022.0,2022,Closing
1336,NWL0063 Whole System Integrated Care/Integrated Care Partnership (WSIC/ICP) Services - Brent		,North West London Clinical Commissioning Group, Early engagement, Open, NW1 5JD,0.0,2022.0,2022,Closing
1337,UOW819 Provision of De-escalation and Breakaway Training		,University Of Worcester, Opportunity, Open, WR2 6AJ,,2022.0,2022,Closing
1338,River Slea and River Witham In-Channel Habitat Improvement Works		,South Kesteven District Council, Opportunity, Open, England,115000.0,2022.0,2022,Closing
1339,Cyclical Decoration Works to the Housing Stock		,Chelmer Housing Partnership Ltd (CHP), Opportunity, Open, England,6000000.0,2022.0,2022,Closing
1340,Racking Inspections		,Science Museum Group, Opportunity, Open, SW7 2DD,,2022.0,2022,Closing
1341,Delivering on Scope 3 Through the WWF Basket		,WWF-UK (WORLD WIDE FUND FOR NATURE) TRADING LIMITED, Opportunity, Open, United Kingdom,30000.0,2022.0,2022,Closing
1342,WCC - Care and Support in Orbit Extra Care Schemes		,WCC - People Group, Opportunity, Open, CV34 4RL,18000000.0,2022.0,2022,Closing
1343,Q080 - Wellsprings Innovation Hub Managing Operator		,Metropolitan Borough of Bolton, Opportunity, Open, England,,2022.0,2022,Closing
1344,Access Consultant		,THE HORNIMAN PUBLIC MUSEUM AND PUBLIC PARK TRUST, Opportunity, Open, SE23 3PQ,,2022.0,2022,Closing
1345,HCC - 03/22 - The Provision of Recycling Centre Haulage and Container Maintenance		,Hertfordshire County Council - Environment, Opportunity, Open, SG13 8DE,36000000.0,2022.0,2022,Closing
1346,Fusion21 Grounds Maintenance  Framework-Contract Notice		,Fusion21 Members Consortium, Opportunity, Open, Any region,,2022.0,2022,Closing
1347,Design & Installation for the Customer experience  (Catering and Social Spaces)		,The University Caterers Organisation Ltd (TUCO Ltd), Opportunity, Open, Any region,,2022.0,2022,Closing
1348,GB-Liverpool: Dental Simulators		,University of Liverpool, Opportunity, Open, North West,500000.0,2022.0,2022,Closing
1349,Supported Living Care Provision in Torbay		,NHS South West - Acutes, Opportunity, Open, TQ2 7AA,27396768.0,2022.0,2022,Closing
1350,Maternity Bereavement Suite and Ablution Room projects		,In-Tend e-Tendering, Opportunity, Open, YO31 8HE,300000.0,2022.0,2022,Closing
1351,NHS Fylde Coast CCGs - Adult Integrated Respiratory Service		,STAFFORDSHIRE AND LANCASHIRE COMMISSIONING SUPPORT UNIT, Opportunity, Open, North West,,2022.0,2022,Closing
1352,Flight Ticketing Data Notice		,DfTc - Department for Transport, Opportunity, Open, SW1P 4DR,,2022.0,2022,Closing
1353,GB-Bedford: Design and Fit Out of a First Floor Modular Office at Bedford Hospital		,Bedfordshire Hospitals NHS Foundation Trust, Opportunity, Open, East of England,500000.0,2022.0,2022,Closing
1354,"Contracts for the provision of Isolated Power Supply (IPS) and Uninterruptible Power Supply (UPS) Planned Preventative Maintenance, Servicing and Call-Outs		",The Newcastle upon Tyne Hospitals NHS Foundation Trust, Opportunity, Open, North East,,2022.0,2022,Closing
1355,Taftie Presidency 2022 - Event Production		,KNOWLEDGE TRANSFER NETWORK LIMITED, Opportunity, Open," United Kingdom, Belgium",,2022.0,2022,Closing
1356,"Micromarket at the Point, County Hall, Beverley		",East Riding of Yorkshire Council, Opportunity, Open, Yorkshire and the Humber,250000.0,2022.0,2022,Closing
1357,Principal Contractor - Principal contractor - Capital projects (20% VAT)		,London Borough of Haringey, Opportunity, Open, United Kingdom,,2022.0,2022,Closing
1358,"Community Cafe, Shorts Road, Fair Oak		",Fair Oak & Horton Heath Parish Council, Opportunity, Open, SO50 7EK,,2022.0,2022,Closing
1359,Provision of Distributed Local Renewable Power Generation - Feasibility Study		,Blackpool Council, Opportunity, Open, FY1 3AH,,2022.0,2022,Closing
1360,Town Centre Radio System - A874		,Swale Borough Council, Opportunity, Open, England,,2022.0,2022,Closing
1361,Fire Alarm Supply and Installation		,Housing 21, Opportunity, Open, Any region,,2022.0,2022,Closing
1362,CP2202-22 Purchase of up to 9 pre-owned Salt Spreaders (Gritters)		,Devon County Council, Opportunity, Open, South West,,2022.0,2022,Closing
1363,"Contract for CCTV Network, Projects and Maintenance in the London Borough of Waltham Forest		",London Borough of Waltham Forest, Opportunity, Open, England,,2022.0,2022,Closing
1364,"LSL/MED/0109: The Supply of Medical Pharmaceuticals Products, Provision of Dispensing Facilities and Overlabelling Service of Pre-packed Medicines		",Leidos Supply, Opportunity, Open, Any region,72598000.0,2022.0,2022,Closing
1365,Places for People - Provision of Vehicle Fleet Management Services		,Places for People Group Ltd, Opportunity, Open, Any region,,2022.0,2022,Closing
1366,The repair and maintenance of Wheeled Loading Shovels		,Lincolnshire County Council, Opportunity, Open, England,600000.0,2022.0,2022,Closing
1367,International Recruitment		,Guy's and St Thomas' NHS Foundation Trust, Opportunity, Open, London,,2022.0,2022,Closing
1368,Teddington School part of Bourne Education Trust alongwith Twickenham and Hampton High School		,Teddington School part of Bourne Education Trust alongwith Twickenham and Hampton High School, Opportunity, Open, London,,2022.0,2022,Closing
1369,"SOL - Cheswick Green Primary School, Additional 1 FE Expansion		",Solihull MBC (SOL), Opportunity, Open, B91 3QB,3500000.0,2022.0,2022,Closing
1370,WHC - Ludwick Green and Three Garage Sites		,Welwyn Hatfield Borough Council, Opportunity, Open, AL8 6AE,,2022.0,2022,Closing
1371,Optimus Annual Software Maintenance		,THE NATIONAL ARCHIVES, Opportunity, Open, TW94DU,,2022.0,2022,Closing
1372,Investment Pathways tool user interface and data provision		,Money and Pensions Service, Future opportunity, Open, Any region,,2022.0,2022,Approach
1373,Cambridge City Council - Planned Maintenance		,Cambridge City Council, Opportunity, Open, England,,2022.0,2022,Closing
1374,Leadership Development - Values-based coaching style		,Stonewater Housing Association, Early engagement, Open, United Kingdom,0.0,2022.0,2022,Closing
1375,Legal Services 2022-26		,Cobalt Housing e-Tendering, Opportunity, Open, L11 2SF,1650000.0,2022.0,2022,Closing
1376,Executive Team Development and Coaching Provision Request for Information		,Stonewater Housing Association, Early engagement, Open, United Kingdom,0.0,2022.0,2022,Closing
1377,CA10113 - Exeter College - Catering FTS Open Tender		,Exeter College, Opportunity, Open, EX4 4JS,,2022.0,2022,Closing
1378,CA10149 - South Pennine Academy - Provision of Internet Connectivity Services		,South Pennine Academies, Opportunity, Open, HD4 5JA,,2022.0,2022,Closing
1379,Tender for the provision of Herefordshire Natural Environment Evidence Update		,Herefordshire Council, Opportunity, Open, England,100000.0,2022.0,2022,Closing
1380,Design and Build a Play Area at Himley Hall		,Dudley Metropolitan Borough Council, Opportunity, Open, DY1 1HF,,2022.0,2022,Closing
1381,Project Management and Associated Services Framework		,EU SUPPLY LIMITED, Opportunity, Open, SW2 1RW,8000000.0,2022.0,2022,Closing
1382,International Review of Legal Obligations and Requirements on Businesses Regarding the Use of Reusable / Refillable Packaging		,Defra Network eTendering Portal, Opportunity, Open, Any region,,2022.0,2022,Closing
1383,Stock of Condition Surveys		,East Suffolk Council, Opportunity, Open, IP12 1RT,,2022.0,2022,Closing
1384,Provision of a Multi-disciplinary Professional Resource Solution		,CTM Portal for the NDA Shared Services Alliance, Opportunity, Open, CA6 4SJ,5000000.0,2022.0,2022,Closing
1385,GB-Northumberland: Aerial Surveys of North England Forest District		,Forestry England, Opportunity, Open, North East,100000.0,2022.0,2022,Closing
1386,GSV2373 - Storage and Fulfilment		,UK Parliament, Opportunity, Open, SW1A 0AA,500000.0,2022.0,2022,Closing
1387,Provision of Chesterfield Borough Council Lighting Strategy		,Chesterfield Borough Council, Opportunity, Open, S40 1AH,,2022.0,2022,Closing
1388,PS22052 - BEIS Monitoring and Evaluation Call-Off Contract		,UK SHARED BUSINESS SERVICES LIMITED, Opportunity, Open, SW1H 0ET,750000.0,2022.0,2022,Closing
1389,CAID PSYCHOLOGICAL AND WELFARE SCREENING SERVICE		,Home Office, Opportunity, Open, SW1P 4DF,,2022.0,2022,Closing
1390,Autodesk Licence Renewal		,Portsmouth City Council, Opportunity, Open, PO1 2BJ,,2022.0,2022,Closing
1391,NCD 142 - Industrial Gas Cylinder Hire		,New College Durham, Opportunity, Open, DH1 5ES,,2022.0,2022,Closing
1392,GB-LIVERPOOL: LCR Graduate Scheme - Independent Evaluation Provider		,University of Liverpool, Opportunity, Open, North West,25000.0,2022.0,2022,Closing
1393,Vehicle Body Repair and Refurbishment		,Kirklees Council, Opportunity, Open, Yorkshire and the Humber,560000.0,2022.0,2022,Closing
1394,Flow Cytometer for high-dimensional cell analysis		,The University of Warwick, Opportunity, Open, CV4 7AL,300000.0,2022.0,2022,Closing
1395,Digital marketing services and digital media buying		,Bath Spa University, Opportunity, Open, South West,,2022.0,2022,Closing
1396,"UKRI-2085 Analytical Laboratory Services for the Detection, Measurement and Reporting of Radioactivity Levels		",UK Research and Innovation, Opportunity, Open, South East,,2022.0,2022,Closing
1397,Replacement of Patent Glazed Rooflight System  and Associated Works at Portfields Primary School		,Milton Keynes Council, Opportunity, Open, MK9 3EJ,,2022.0,2022,Closing
1398,(NU/1745) General Business Consultancy Services Dynamic Purchasing System (DPS)		,Newcastle University, Opportunity, Open, England,,2022.0,2022,Closing
1399,Appointment of Strategic Development Management and Construction Delivery Partner		,Lancaster City Council, Opportunity, Open, England,,2022.0,2022,Closing
1400,Agile Software Development Partner		,Anchor Hanover, Future opportunity, Open, BD1 2ST,15000000.0,2022.0,2022,Approach
1401,"Hethersett Old Hall, Capital Works Phase 2		",7 Forces Commercial Services, Opportunity, Open, NR180WW,800000.0,2022.0,2022,Closing
1402,"CFN 21-T17 Regular Servicing, Safety Check and Ad Hoc repair of Bay Doors		",East of England Ambulance Service, Opportunity, Open, East of England,,2022.0,2022,Closing
1403,Supply and servicing of grounds maintenance materials and equipment		,Flagship Housing Group, Opportunity, Open, East of England,,2022.0,2022,Closing
1404,BDC 5360 Installation & Maintenance of Lighting Protections & Surge Protection Systems		,Nottingham City Council, Opportunity, Open, England,,2022.0,2022,Closing
1405,Supported housing for families		,Portsmouth City Council, Opportunity, Open, PO1 2BJ,,2022.0,2022,Closing
1406,The Archer Academy Cleaning Tender		,Citation Consulting Ltd, Opportunity, Open, E2 8GA,404100.0,2022.0,2022,Closing
1407,Testing & Inspecting of Emergency Lighting Systems		,Ipswich Borough Council, Opportunity, Open, IP1 2DE,175000.0,2022.0,2022,Closing
1408,The Management of the Market Place at Dudley Town Centre		,Dudley Metropolitan Borough Council, Opportunity, Open, DY1 1HF,17200.0,2022.0,2022,Closing
1409,Supporting Umbraco Content Management System		,Historic England, Opportunity, Open, SN2 2EH,75000.0,2022.0,2022,Closing
1410,Non-Hazardous and Hazardous Waste Disposal Services		,CTM Portal for the NDA Shared Services Alliance, Opportunity, Open, South East,400000.0,2022.0,2022,Closing
1411,Responsive Repairs and Maintenance Contractor Framework		,Livv Housing Group, Opportunity, Open, North West,,2022.0,2022,Closing
1412,Service Design Specialist - Lincolnshire Good Home Agency Development		,CENTRE FOR AGEING BETTER LIMITED, Opportunity, Open, England,49999.0,2022.0,2022,Closing
1413,Counselling Services		,Stockport Homes Ltd, Opportunity, Open, England,159000.0,2022.0,2022,Closing
1414,Specialist Repairs Call Centre Service		,London Borough of Lambeth, Opportunity, Open, SW2 1RW,6963790.0,2022.0,2022,Closing
1415,West Cheshire Homes (Housing Options and Choice Based Lettings) Software		,Cheshire west and Chester Borough Council, Opportunity, Open, England,,2022.0,2022,Closing
1416,Local Supported Accommodation Framework (Flexible) - CSC/2021/584*		,Stoke-on-Trent City Council, Opportunity, Open, England,,2022.0,2022,Closing
1417,Insurance & Related Services 4 (IS4)		,Crown Commercial Service, Future opportunity, Open, United Kingdom,,2022.0,2022,Approach
1418,CPU 5299 Manvers Street Railway Bridge Pigeon Cleaning 2022		,Nottingham City Council, Opportunity, Open, England,,2022.0,2022,Closing
1419,Early Years Education Recovery (EYER) Programme: Level 3 qualification review		,Department for Education, Opportunity, Open," North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West",200000.0,2022.0,2022,Closing
1420,APA for Influenza Pandemic Specific Vaccines		,UK Health Security Agency, Opportunity, Open, SW1P 3JR,676000000.0,2022.0,2022,Closing
1421,Insurance and Damp Work Framework		,Newlon Housing Trust, Opportunity, Open, London,,2022.0,2022,Closing
1422,CHRT503-2021-22 -DS/DN - Greater Manchester Pharmacy Logistics Supply Chain Service		,The Christie NHS Foundation Trust, Opportunity, Open, England,,2022.0,2022,Closing
1423,Provision of Bus Transport Services		,Bedford College, Future opportunity, Open, East of England,,2022.0,2022,Approach
1424,Supply and fitting of replacement double glazing units at Sutton Bank Visitor Centre YO7 2EH		,Director, Opportunity, Open, Yorkshire and the Humber,27000.0,2022.0,2022,Closing
1425,"Expression of Interest to Tender for Works to Shops, Facades and Concourse At Brixton Recreation Centre - Standard Selection Questionnaire (SSQ) Stage		",London Borough of Lambeth, Opportunity, Open, London,780000.0,2022.0,2022,Closing
1426,HCC 03/22 - Provision of Conceptual Design Services for the Watford to Croxley Link (W2CL)		,Hertfordshire County Council - Environment, Opportunity, Open, SG13 8DE,275000.0,2022.0,2022,Closing
1427,Consultancy - Saltcross Garden Village Science Park Lots 1-4		,West Oxfordshire District Council, Opportunity, Open, OX28 1NB,150000.0,2022.0,2022,Closing
1428,Medical Provision at Worcester Victorian Fayre		,Worcester City Council, Opportunity, Open, England,,2022.0,2022,Closing
1429,UKHSA_CR&E - Microbiology Safety Cabinets		,UK Health Security Agency, Opportunity, Open, United Kingdom,,2022.0,2022,Closing
1430,"Provision of Student Transport for Wyke 6th Form College, Hull		",LOCAL TRANSPORT PROJECTS LIMITED, Opportunity, Open, Yorkshire and the Humber,,2022.0,2022,Closing
1431,"Installation of Boundary V Mesh Fencing - at North Bromsgrove High School, School Drive Stratford Road Bromsgrove B60 1BA		",Worcestershire County Council, Opportunity, Open, WR5 2NP,,2022.0,2022,Closing
1432,UKRI-2081 Freia Collimation Vessel		,UK Research and Innovation, Opportunity, Open, East of England,,2022.0,2022,Closing
1433,Microbiology Serology and Ancillary Services		,NHS Blood and Transplant, Opportunity, Open, BS34 7QH,,2022.0,2022,Closing
1434,"Voluntary, Community and Social Enterprise (VCSE) Infrastructure Support Service		",Trafford Council, Opportunity, Open, England,500000.0,2022.0,2022,Closing
1435,Anticoagulation Service (Non-Complex Pathway) for  NHS Sunderland and County Durham CCGs		,North Of England Commissioning Support, Opportunity, Open, North East,,2022.0,2022,Closing
1436,NCD146 - Flooring Provision		,New College Durham, Opportunity, Open, DH1 5ES,,2022.0,2022,Closing
1437,Provision of Door Inspection and Survey to the University of Chester		,UNIVERSITY OF CHESTER, Opportunity, Open," North West, West Midlands",1400000.0,2022.0,2022,Closing
1438,CBC-1356-T-LS Bedford Borough and Central Bedfordshire Adult Drug and Alcohol Treatment Service		,Central Bedfordshire Council, Opportunity, Open, SG17 5TQ,,2022.0,2022,Closing
1439,Provision of Civilian Qualified Helicopter Instructional Training (Wildcat)		,Ministry of Defence, Opportunity, Open, South West,,2022.0,2022,Closing
1440,The Provision of Children's Residential Care		,Dorset Council, Opportunity, Open, South West,,2022.0,2022,Closing
1441,Provision of an Integrated Health and Wellbeing Service 0-19 Years (25 Years Special Educational Needs/Disability)		,North Lincolnshire Council, Opportunity, Open, Yorkshire and the Humber,8016000.0,2022.0,2022,Closing
1442,Africa Hub - Gaborone - Security Guard Services		,Foreign Commonwealth and Development Office, Opportunity, Open, Any region,,2022.0,2022,Closing
1443,"DUD - Survey, Supply and Installation of PVCu Windows, Composite Doors and Associated Brickwork Repairs 2022		",Dudley Metropolitan Borough Council, Opportunity, Open, DY1 1HF,25000000.0,2022.0,2022,Closing
1444,Fire Safety Maintenance Works Framework		,Abri, Opportunity, Open, SO50 6AD,20000000.0,2022.0,2022,Closing
1445,TD1705 - Highways Framework		,Derby City Council, Opportunity, Open, East Midlands,,2022.0,2022,Closing
1446,Passenger Lift Replacement x 2		,Progress Housing Group, Opportunity, Open, United Kingdom,,2022.0,2022,Closing
1447,SSD 22 03 Deaf Communication Support		,Derbyshire County Council, Opportunity, Open, United Kingdom,,2022.0,2022,Closing
1448,IT Consultancy Support		,MINERVA LEARNING TRUST, Opportunity, Open, Yorkshire and the Humber,180000.0,2022.0,2022,Closing
1449,Supply and Installation of an Environmental Thermal Mechanical Test System		,UNIVERSITY OF BIRMINGHAM, Opportunity, Open, B15 2TT,,2022.0,2022,Closing
1450,Highway Verge and Visibility Cutting Services		,Braintree District Council, Opportunity, Open, East of England,,2022.0,2022,Closing
1451,CA10139 - South Devon College - Invitation to tender for Provision of Hard Facilities Management (FM) Services		,South Devon College, Opportunity, Open, TQ4 7EJ,,2022.0,2022,Closing
1452,"Wyre Council - Replacement Of Metal Fascias, Soffits, Barge Boards And Associated Works at Chatsworth Depot, Chatsworth Avenue, Fleetwood, Lancashire, FY7 8EJ		",Wyre Council, Opportunity, Open, FY7 8EJ,,2022.0,2022,Closing
1453,T23 Aviation Hangar Hoist Regeneration CF		,Ministry of Defence, Opportunity, Open, BS34 8JH,,2022.0,2022,Closing
1454,Highways Services - A3 CIVIL AND HIGHWAY ENGINEERING		,Wirral Borough Council, Future opportunity, Open, England,,2022.0,2025,Approach
1455,"Contract for the provision of IPS and UPS Planned Preventative Maintenance, Servicing and Call-Outs		",The Newcastle upon Tyne Hospitals NHS Foundation Trust, Opportunity, Open, North East,,2022.0,2022,Closing
1456,"Building Works - Harlington Road Depot, Hillingdon		",London Borough of Hillingdon, Opportunity, Open, UB8 1UW,,2022.0,2022,Closing
1457,Highways Services - A2 CARRIAGEWAY STRUCTURAL RESURFACING		,Wirral Borough Council, Future opportunity, Open, England,,2022.0,2025,Approach
1458,"Ventilation and cooling improvements at Moreton Hall Community Centre, Symonds Road, Bury St. Edmunds IP32 7EE		",West Suffolk Council, Opportunity, Open, IP33 3YU,200000.0,2022.0,2022,Closing
1459,PROC078 Insurance |Services		,North Norfolk District Council, Opportunity, Open, East of England,,2022.0,2022,Closing
1460,ME4 - Waste Procurement Soft Market Testing survey		,Birmingham City Council, Early engagement, Open, West Midlands,9.0,2022.0,2022,Closing
1461,702709450 - Provision of Programmable Logic Controllers		,Ministry of Defence, Opportunity, Open, PO12 3BY,,2022.0,2022,Closing
1462,Dynamic Purchasing System -The City of Liverpool College - Performing Arts & Creative Study Programmes		,The City of Liverpool College, Opportunity, Open, L13 0BQ,3000000.0,2017.0,2024,Closing
1463,0942 - Supply of Electricity and Gas utilities to Essex County Council		,Essex County Council, Opportunity, Open, England,,2022.0,2022,Closing
1464,ADC 5350 Provision of Legionella Monitoring & Maintenance Services		,Nottingham City Council, Opportunity, Open, England,,2022.0,2022,Closing
1465,CCS002 Provision of Derbyshire Holiday Activities and Food Programme		,Derbyshire County Council, Opportunity, Open, England,,2022.0,2022,Closing
1466,"CA10136 - Servicing of Intruder Alarms, Access Control and CCTV Systems contract across various schools within DNEAT and St Benet's.		",Diocese of Norwich Education and Academies Trust, Opportunity, Open, NR9 5ES,,2022.0,2022,Closing
1467,CA10135 - Fire Extinguisher Servicing centralised contracted across schools within DNEAT and St Benet's.		,Diocese of Norwich Education and Academies Trust, Opportunity, Open, NR9 5ES,,2022.0,2022,Closing
1468,CA10134 - Water Hygiene Servicing contracted across various schools within DNEAT and St Benet's		,Diocese of Norwich Education and Academies Trust, Opportunity, Open, NR9 5ES,,2022.0,2022,Closing
1469,CA10133 - Emergency Light Servicing centralised contracted across various schools within DNEAT and St Benet's.		,Diocese of Norwich Education and Academies Trust, Opportunity, Open, NR9 5ES,,2022.0,2022,Closing
1470,Early Years: accredited Level 3 training for Special Educational Needs Coordinators		,Department for Education, Opportunity, Open," North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West",,2022.0,2022,Closing
1471,GM Collaboration - HR/Payroll System GMCA 400		,Greater Manchester Combined Authority, Opportunity, Open, England,31000000.0,2022.0,2022,Closing
1472,Tender VLE - Phase 2 Web Development Services		,Hudson Outsourcing Limited, Opportunity, Open, North East,,2022.0,2022,Closing
1473,OH and Associated Wellbeing Services Framework Agreement for Health		,NHS SBS, Opportunity, Open, Any region,,2022.0,2022,Closing
1474,Safer Streets Round 4 Protecting Public Spaces		,Home Office, Opportunity, Open," East Midlands, East of England, London, North East, North West, South East, South West, Wales, West Midlands, Yorkshire and the Humber",750000.0,2022.0,2022,Closing
1475,Tender for External Audit Services for Trinity Laban Conservatoire		,London Universities Purchasing Consortium, Opportunity, Open, SE109JF,1.0,2022.0,2022,Closing
1476,"Servicing & Maintenance of Ventilation Systems, Air Conditioning & Air Handling Units & Fridge Freezers within Corporate Buildings (excluding School Kitchens).		",Sheffield City Council, Opportunity, Open, Yorkshire and the Humber,390000.0,2022.0,2022,Closing
1477,"PRJ-1082 - Community Diagnostics Services, North East London		",North East London Clinical Commissioning Group, Early engagement, Open, England,8.0,2022.0,2022,Closing
1478,CFN Floral Displays across the London Borough of Hillingdon		,London Borough of Hillingdon, Opportunity, Open, UB8 1UW,,2022.0,2022,Closing
1479,Play Area Surfacing Framework 2022		,Chelmsford City Council, Opportunity, Open, East of England,,2022.0,2022,Closing
1480,HCC - 03/22 - The Provision of a Framework Agreement for Support at Home - Spot Providers		,Hertfordshire County Council  - Adult Care Services, Opportunity, Open, SG13 8DE,267000000.0,2022.0,2022,Closing
1481,Fabrication and Machining Framework		,CTM Portal for the NDA Shared Services Alliance, Opportunity, Open, Any region,4000000.0,2022.0,2022,Closing
1482,Minor Civils Works Framework		,North London Waste Authority, Opportunity, Open, N17 9LJ,,2022.0,2022,Closing
1483,Framework Agreement for Tree Related Services		,Rochdale Metropolitan Borough Council, Opportunity, Open, England,,2022.0,2022,Closing
1484,Provision of Pharmaceutical Wholesale Services		,East of England NHS Collaborative Procurement Hub, Opportunity, Open, CB21 5XB,,2022.0,2022,Closing
1485,BHCC JB Highways Services Contracts		,BHCC City Transport, Opportunity, Open, BN1 1JE,200000000.0,2022.0,2022,Closing
1486,"Door Entry, Access Control, CCTV and Warden Call Installs and Maintenance Framework		",EFFICIENCY EAST MIDLANDS LIMITED, Opportunity, Open," North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West, Wales",100000000.0,2022.0,2022,Closing
